#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.51468     1.51468           0
           2     1.49259     1.50363  0.00781167
           3     1.50232     1.50319   0.0052201
           4     1.47232     1.49548  0.00774611
           5       1.459     1.48818  0.00899899
           6     1.47529     1.48603  0.00775142
           7     1.51746     1.49052    0.007837
           8     1.50855     1.49277  0.00717408
           9     1.50258     1.49386  0.00645918
          10     1.49598     1.49408  0.00581672
          11     1.48087     1.49288  0.00541033
          12     1.51087     1.49438  0.00516313
          13     1.47125      1.4926  0.00506307
          14     1.48263     1.49188  0.00475117
          15     1.50031     1.49245  0.00446747
          16     1.51066     1.49358  0.00433084
          17     1.48716     1.49321  0.00409252
          18     1.52217     1.49482  0.00416942
          19     1.50747     1.49548  0.00400281
          20     1.49621     1.49552  0.00380284
