#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.024706    0.024706           0
           2    0.028896    0.026801  0.00148139
           3    0.035556   0.0297193  0.00257936
           4     0.03718   0.0315845  0.00252022
           5     0.03009   0.0312856  0.00203382
           6    0.031424   0.0313087  0.00169498
           7     0.03219   0.0314346  0.00145751
           8     0.02357   0.0304515  0.00157228
           9       0.036    0.031068  0.00151363
          10    0.024516   0.0304128  0.00149738
          11    0.037458   0.0310533  0.00149195
          12    0.021108   0.0302245  0.00158114
          13    0.025532   0.0298635  0.00150015
          14    0.032302   0.0300377  0.00140308
          15    0.038552   0.0306053  0.00141972
          16    0.030444   0.0305953  0.00133102
          17     0.03246   0.0307049  0.00125724
          18    0.022702   0.0302603  0.00126356
          19     0.03563   0.0305429  0.00122826
          20    0.023976   0.0302146  0.00120994
